"New Path","Original Source","Usage Category","Alt Text","Original Pages","Notes"
"/images/product/gripable-on-platform-min.jpg","wp-content/uploads/gripable-on-platform-min.jpg","Product / Device","GripAble sensor on platform","Solutions pages","Product hero shot"
"/images/product/gripable-sensor-arch-v2-min.jpg","wp-content/uploads/gripable-sensor-arch-v2-min.jpg","Product / Device","GripAble sensor architectural view","Solutions pages","Product detail shot"
"/images/product/gripable-sensor-cutout-min.png","wp-content/uploads/gripable-sensor-cutout-min.png","Product / Device","GripAble sensor cutout","Homepage, Solutions","Transparent background product shot"
"/images/product/gripable-sensor-with-tablets-1054x722-min.png","wp-content/uploads/gripable-sensor-with-tablets-1054x722-min.png","Product / Device","GripAble sensor with tablets showing Able Assess app","Solutions pages","Product ecosystem shot"
"/images/product/gripable-software-illustration-trimmed-min-min.png","wp-content/uploads/gripable-software-illustration-trimmed-min-min.png","Product / Device","GripAble software illustration","Solutions pages","Software UI illustration"
"/images/product/gripable-in-hand-trimmed-min.png","wp-content/uploads/gripable-in-hand-trimmed-min.png","Product / Device","Hand holding GripAble sensor","About, Solutions","In-use product shot"
"/images/product/hand-holding-gripable-w-bg-resized-min.jpg","wp-content/uploads/hand-holding-gripable-w-bg-resized-min.jpg","Product / Device","Hand holding GripAble hand dynamometer","Blog (hand dynamometer guide), Solutions","Product in-use with background"
"/images/product/lady-holding-gripable-sensor-min.jpg","wp-content/uploads/lady-holding-gripable-sensor-min.jpg","Product / Device","Lady holding GripAble sensor","About page","User holding product"
"/images/product/two-people-using-gripable-resized-min.jpg","wp-content/uploads/two-people-using-gripable-resized-min.jpg","Product / Device","Two people using GripAble","Solutions (Able Assess)","Clinical setting product use"
"/images/product/two-people-using-gripable-and-the-app-resized-v2-min.jpg","wp-content/uploads/two-people-using-gripable-and-the-app-resized-v2-min.jpg","Product / Device","Two people using GripAble and the app","Solutions pages","Product + app ecosystem shot"
"/images/product/elderly-man-holding-gripable-resized.jpg","wp-content/uploads/elderly-man-holding-gripable-resized.jpg","Product / Device","Elderly man holding GripAble sensor","About page","Senior user product shot"
"/images/product/sensor-on-podium-min.jpg","wp-content/uploads/sensor-on-podium-min.jpg","Product / Device","GripAble sensor on podium display","About page","Product showcase shot"
"/images/product/67c85bbd023e1a3fcfb5db6b_2203_FIZQUIERDO_GRIPPABLE_F05_0111-p-800.jpg","wp-content/uploads/67c85bbd023e1a3fcfb5db6b_2203_FIZQUIERDO_GRIPPABLE_F05_0111-p-800.jpg","Product / Device","GripAble sensor professional product photography","Homepage","Studio product shot"
"/images/product/spinning-sensor.png","themes/able-care-v3-4/assets/images/spinning-sensor/1.png","Product / Device","GripAble sensor spinning animation frame","Homepage","Animation frame - sensor rotation"
"/images/product/gripable-sensor-cutout-theme-min.png","themes/able-care-v3-4/assets/images/gripable-sensor-cutout-min.png","Product / Device","GripAble sensor cutout (theme asset)","Global theme","Transparent sensor cutout from theme"
"/images/heroes/homepage-hero-image-trimmed-min-new-min-1.png","wp-content/uploads/homepage-hero-image-trimmed-min-new-min-1.png","Hero / Banner","Able Assess falls risk screening platform","Homepage, Blog (Able Assess article)","Main homepage hero image"
"/images/heroes/hero-image-gray-hair-min.jpg","wp-content/uploads/hero-image-gray-hair-min.jpg","Hero / Banner","Senior woman - falls prevention","About page","About page hero"
"/images/heroes/long-hair-back-hero-min.jpg","wp-content/uploads/long-hair-back-hero-min.jpg","Hero / Banner","Person from behind - care setting","Contact page","Contact/secondary hero"
